Node ID,Name,Longitude,Latitude,Hop_ID,system_ID,Country
pt_40.1914_-74.0151,"Avon, United States",-74.0151,40.1914,236,2001.7,United States
pt_51.092962_-4.227454,"Saunton Sands, Great Britain",-4.227454,51.092962,237,2001.7,United Kingdom
pt_40.1186_-74.0447,"Manasquan, United States",-74.0447,40.1186,238,2001.7,United States
pt_40.9028_-73.3442,"Northport, United States",-73.3442,40.9028,239,2001.9,United States
pt_50.0759_-5.7024,"Sennen Cove, Great Britain",-5.7024,50.0759,240,2001.9,United Kingdom
pt_50.043_-5.654,"Porthcurno, Great Britain",-5.654,50.043,241,2001.9,United Kingdom
pt_48.5344_-2.7708,"Plerin, France",-2.7708,48.5344,242,2001.9,France
pt_40.6031_-73.6569,"Island Park, United States",-73.6569,40.6031,243,2001.9,United States
pt_35.172971_129.071611,"Pusan, South Korea",129.071611,35.172971,244,2002.11,South Korea
pt_33.8834_130.8752,"Kitakyushu, Japan",130.8752,33.8834,245,2002.11,Japan
pt_33.602194_130.396449,"Fukoka, Japan",130.396449,33.602194,246,2002.11,Japan
pt_34.95_139.95,"Chikura, Japan",139.95,34.95,247,2002.1,Japan
pt_36.8019_140.751,"Kitaibaraki, Japan",140.751,36.8019,248,2002.1,Japan
grid_26.3_126.0,grid_26.3_126.0,126,26.3,249,2002.1,grid_26.3_126.0
pt_25.1667_121.4333,"Tamshui, Taiwan",121.4333,25.1667,250,2002.1,Taiwan
pt_23.3735_116.6941,"Shantou, China",116.6941,23.3735,251,2002.1,China
grid_20.5_116.4,grid_20.5_116.4,116.4,20.5,252,2002.1,grid_20.5_116.4
grid_15.5_113.7,grid_15.5_113.7,113.7,15.5,253,2002.1,grid_15.5_113.7
pt_1.299009_103.904039,"Katong, Singapore",103.904039,1.299009,254,2002.1,Singapore
pt_3.8167_103.3333,"Kuantan, Malaysia",103.3333,3.8167,255,2002.1,Malaysia
grid_22.0_114.0,grid_22.0_114.0,114,22,256,2002.1,grid_22.0_114.0
pt_22.260362_113.947319,"Lantau, Hong Kong",113.947319,22.260362,257,2002.1,China
pt_31.51602_121.871545,"Chongming, China",121.871545,31.51602,258,2002.1,China
pt_13.741086_121.051681,"Batangas, Philippines",121.051681,13.741086,259,2002.1,Philippines
pt_54.1818_-0.3175,"Hunmanby, Great Britain",-0.3175,54.1818,260,2002.3,United Kingdom
pt_53.4483_6.8311,"Eemshaven, Netherlands",6.8311,53.4483,261,2002.3,Netherlands
pt_51.293166_-3.013273,"Brean, Great Britain",-3.013273,51.293166,262,2002.4,United Kingdom
